#, Side, Eta, Phi, dPhi, type/depth, Det, RBX, Sector, MB_NO, BV, QIE, QIECH, RM, RM_FI, FI_CH, ppCol, ppRow, ppCpl, ppLC, dodec, Crate, uHTR, uHTR_FI, FEDid, QIEid, TP_FI, TP_CH
, -1, 10, 14, 1, 4, HB, HBM04, 4, 30, 59, 2, 9, 1, 1, 0, 7, 1, HBM04_RM1A, 1, 1, 20, 1, 0, 1102, 999999, 4, 7
, -1, 9, 14, 1, 4, HB, HBM04, 4, 29, 63, 2, 10, 1, 1, 1, 7, 1, HBM04_RM1A, 1, 1, 20, 1, 0, 1102, 999999, 4, 3
, -1, 12, 14, 1, 4, HB, HBM04, 4, 22, 57, 2, 11, 1, 1, 2, 7, 1, HBM04_RM1A, 1, 1, 20, 1, 0, 1102, 999999, 5, 7
, -1, 11, 14, 1, 4, HB, HBM04, 4, 21, 61, 2, 12, 1, 1, 3, 7, 1, HBM04_RM1A, 1, 1, 20, 1, 0, 1102, 999999, 5, 3
, -1, 10, 14, 1, 2, HB, HBM04, 4, 28, 3, 2, 13, 1, 1, 4, 7, 1, HBM04_RM1A, 1, 1, 20, 1, 0, 1102, 999999, 4, 7
, -1, 9, 14, 1, 2, HB, HBM04, 4, 27, 7, 2, 14, 1, 1, 5, 7, 1, HBM04_RM1A, 1, 1, 20, 1, 0, 1102, 999999, 4, 3
, -1, 12, 14, 1, 2, HB, HBM04, 4, 20, 1, 2, 15, 1, 1, 6, 7, 1, HBM04_RM1A, 1, 1, 20, 1, 0, 1102, 999999, 5, 7
, -1, 11, 14, 1, 2, HB, HBM04, 4, 19, 5, 2, 16, 1, 1, 7, 7, 1, HBM04_RM1A, 1, 1, 20, 1, 0, 1102, 999999, 5, 3
, -1, 10, 13, 1, 1, HB, HBM04, 4, 40, 35, 3, 1, 2, 1, 0, 7, 2, HBM04_RM2A, 1, 2, 20, 1, 1, 1102, 999999, 4, 6
, -1, 9, 13, 1, 1, HB, HBM04, 4, 39, 39, 3, 2, 2, 1, 1, 7, 2, HBM04_RM2A, 1, 2, 20, 1, 1, 1102, 999999, 4, 2
, -1, 12, 13, 1, 1, HB, HBM04, 4, 48, 33, 3, 3, 2, 1, 2, 7, 2, HBM04_RM2A, 1, 2, 20, 1, 1, 1102, 999999, 5, 6
, -1, 11, 13, 1, 1, HB, HBM04, 4, 47, 37, 3, 4, 2, 1, 3, 7, 2, HBM04_RM2A, 1, 2, 20, 1, 1, 1102, 999999, 5, 2
, -1, 10, 13, 1, 3, HB, HBM04, 4, 34, 27, 3, 5, 2, 1, 4, 7, 2, HBM04_RM2A, 1, 2, 20, 1, 1, 1102, 999999, 4, 6
, -1, 9, 13, 1, 3, HB, HBM04, 4, 33, 31, 3, 6, 2, 1, 5, 7, 2, HBM04_RM2A, 1, 2, 20, 1, 1, 1102, 999999, 4, 2
, -1, 12, 13, 1, 3, HB, HBM04, 4, 42, 25, 3, 7, 2, 1, 6, 7, 2, HBM04_RM2A, 1, 2, 20, 1, 1, 1102, 999999, 5, 6
, -1, 11, 13, 1, 3, HB, HBM04, 4, 41, 29, 3, 8, 2, 1, 7, 7, 2, HBM04_RM2A, 1, 2, 20, 1, 1, 1102, 999999, 5, 2
, -1, 10, 12, 1, 4, HB, HBM04, 4, 30, 59, 2, 9, 3, 1, 0, 7, 3, HBM04_RM3A, 1, 3, 20, 1, 2, 1102, 999999, 4, 5
, -1, 9, 12, 1, 4, HB, HBM04, 4, 29, 63, 2, 10, 3, 1, 1, 7, 3, HBM04_RM3A, 1, 3, 20, 1, 2, 1102, 999999, 4, 1
, -1, 12, 12, 1, 4, HB, HBM04, 4, 22, 57, 2, 11, 3, 1, 2, 7, 3, HBM04_RM3A, 1, 3, 20, 1, 2, 1102, 999999, 5, 5
, -1, 11, 12, 1, 4, HB, HBM04, 4, 21, 61, 2, 12, 3, 1, 3, 7, 3, HBM04_RM3A, 1, 3, 20, 1, 2, 1102, 999999, 5, 1
, -1, 10, 12, 1, 2, HB, HBM04, 4, 28, 3, 2, 13, 3, 1, 4, 7, 3, HBM04_RM3A, 1, 3, 20, 1, 2, 1102, 999999, 4, 5
, -1, 9, 12, 1, 2, HB, HBM04, 4, 27, 7, 2, 14, 3, 1, 5, 7, 3, HBM04_RM3A, 1, 3, 20, 1, 2, 1102, 999999, 4, 1
, -1, 12, 12, 1, 2, HB, HBM04, 4, 20, 1, 2, 15, 3, 1, 6, 7, 3, HBM04_RM3A, 1, 3, 20, 1, 2, 1102, 999999, 5, 5
, -1, 11, 12, 1, 2, HB, HBM04, 4, 19, 5, 2, 16, 3, 1, 7, 7, 3, HBM04_RM3A, 1, 3, 20, 1, 2, 1102, 999999, 5, 1
, -1, 10, 11, 1, 1, HB, HBM04, 4, 40, 35, 3, 1, 4, 1, 0, 7, 4, HBM04_RM4A, 1, 4, 20, 1, 3, 1102, 999999, 4, 4
, -1, 9, 11, 1, 1, HB, HBM04, 4, 39, 39, 3, 2, 4, 1, 1, 7, 4, HBM04_RM4A, 1, 4, 20, 1, 3, 1102, 999999, 4, 0
, -1, 12, 11, 1, 1, HB, HBM04, 4, 48, 33, 3, 3, 4, 1, 2, 7, 4, HBM04_RM4A, 1, 4, 20, 1, 3, 1102, 999999, 5, 4
, -1, 11, 11, 1, 1, HB, HBM04, 4, 47, 37, 3, 4, 4, 1, 3, 7, 4, HBM04_RM4A, 1, 4, 20, 1, 3, 1102, 999999, 5, 0
, -1, 10, 11, 1, 3, HB, HBM04, 4, 34, 27, 3, 5, 4, 1, 4, 7, 4, HBM04_RM4A, 1, 4, 20, 1, 3, 1102, 999999, 4, 4
, -1, 9, 11, 1, 3, HB, HBM04, 4, 33, 31, 3, 6, 4, 1, 5, 7, 4, HBM04_RM4A, 1, 4, 20, 1, 3, 1102, 999999, 4, 0
, -1, 12, 11, 1, 3, HB, HBM04, 4, 42, 25, 3, 7, 4, 1, 6, 7, 4, HBM04_RM4A, 1, 4, 20, 1, 3, 1102, 999999, 5, 4
, -1, 11, 11, 1, 3, HB, HBM04, 4, 41, 29, 3, 8, 4, 1, 7, 7, 4, HBM04_RM4A, 1, 4, 20, 1, 3, 1102, 999999, 5, 0
, -1, 4, 14, 1, 1, HB, HBM04, 4, 56, 36, 4, 1, 1, 4, 0, 7, 1, HBM04_RM1A, 4, 5, 20, 1, 4, 1102, 999999, 1, 7
, -1, 3, 14, 1, 1, HB, HBM04, 4, 55, 40, 4, 2, 1, 4, 1, 7, 1, HBM04_RM1A, 4, 5, 20, 1, 4, 1102, 999999, 1, 3
, -1, 2, 14, 1, 1, HB, HBM04, 4, 64, 34, 4, 3, 1, 4, 2, 7, 1, HBM04_RM1A, 4, 5, 20, 1, 4, 1102, 999999, 0, 7
, -1, 1, 14, 1, 1, HB, HBM04, 4, 63, 38, 4, 4, 1, 4, 3, 7, 1, HBM04_RM1A, 4, 5, 20, 1, 4, 1102, 999999, 0, 3
, -1, 4, 14, 1, 3, HB, HBM04, 4, 50, 28, 4, 5, 1, 4, 4, 7, 1, HBM04_RM1A, 4, 5, 20, 1, 4, 1102, 999999, 1, 7
, -1, 3, 14, 1, 3, HB, HBM04, 4, 49, 32, 4, 6, 1, 4, 5, 7, 1, HBM04_RM1A, 4, 5, 20, 1, 4, 1102, 999999, 1, 3
, -1, 2, 14, 1, 3, HB, HBM04, 4, 58, 26, 4, 7, 1, 4, 6, 7, 1, HBM04_RM1A, 4, 5, 20, 1, 4, 1102, 999999, 0, 7
, -1, 1, 14, 1, 3, HB, HBM04, 4, 57, 30, 4, 8, 1, 4, 7, 7, 1, HBM04_RM1A, 4, 5, 20, 1, 4, 1102, 999999, 0, 3
, -1, 4, 13, 1, 4, HB, HBM04, 4, 14, 60, 1, 9, 2, 4, 0, 7, 2, HBM04_RM2A, 4, 6, 20, 1, 5, 1102, 999999, 1, 6
, -1, 3, 13, 1, 4, HB, HBM04, 4, 13, 64, 1, 10, 2, 4, 1, 7, 2, HBM04_RM2A, 4, 6, 20, 1, 5, 1102, 999999, 1, 2
, -1, 2, 13, 1, 4, HB, HBM04, 4, 6, 58, 1, 11, 2, 4, 2, 7, 2, HBM04_RM2A, 4, 6, 20, 1, 5, 1102, 999999, 0, 6
, -1, 1, 13, 1, 4, HB, HBM04, 4, 5, 62, 1, 12, 2, 4, 3, 7, 2, HBM04_RM2A, 4, 6, 20, 1, 5, 1102, 999999, 0, 2
