Normalize,Type,Datetime,Li7(LR)_AVG,Li7(LR)_STD,Rh103(LR)_AVG,Rh103(LR)_STD,Sn118(LR)_AVG,Sn118(LR)_STD,Ba138(LR)_AVG,Ba138(LR)_STD,Ce140(LR)_AVG,Ce140(LR)_STD,Ta181(LR)_AVG,Ta181(LR)_STD,W184(LR)_AVG,W184(LR)_STD,Pb207(LR)_AVG,Pb207(LR)_STD,Ti47(MR)_AVG,Ti47(MR)_STD,Ti48(MR)_AVG,Ti48(MR)_STD,Cr52(MR)_AVG,Cr52(MR)_STD,Mn55(MR)_AVG,Mn55(MR)_STD,Co59(MR)_AVG,Co59(MR)_STD,Ni60(MR)_AVG,Ni60(MR)_STD,Cu63(MR)_AVG,Cu63(MR)_STD,Zn66(MR)_AVG,Zn66(MR)_STD,Ge72(MR)_AVG,Ge72(MR)_STD,Mo98(MR)_AVG,Mo98(MR)_STD,Rh103(MR)_AVG,Rh103(MR)_STD,Ce140(MR)_AVG,Ce140(MR)_STD,Hf178(MR)_AVG,Hf178(MR)_STD,Hf180(MR)_AVG,Hf180(MR)_STD
1,HOT,2022-01-03 17:54:39,3345.0,108.4,304041.5,1199.7,41.7,11.6,25.0,7.2,77.8,21.9,8525.4,53.3,111.8,19.8,3.5,2.4,2.1,0.0,38.2,9.8,63.2,16.8,14.6,3.6,4.2,5.5,0.0,0.0,4.2,4.2,5.9,3.3,91.0,6.7,17.4,6.7,17966.8,322.2,1.4,1.2,0.0,0.0,0.0,0.0
1,HOT,2022-01-12 17:51:57,3034.4,155.8,307914.6,95.4,19.4,1.2,37.5,10.4,63.9,24.9,2826.1,125.8,57.6,21.7,2.8,2.4,2.8,1.2,36.1,2.4,79.9,16.9,22.9,0.0,6.2,2.1,1.4,1.2,2.1,2.1,4.2,0.0,113.2,2.4,11.8,8.4,18660.2,421.0,5.6,1.2,0.0,0.0,1.4,2.4
1,HOT,2022-01-14 14:56:22,2184.3,73.4,302075.3,1645.6,43.1,19.7,47.9,7.5,89.6,10.4,3209.3,24.6,98.6,7.9,6.2,3.6,4.2,3.6,43.1,4.3,71.5,18.7,20.8,4.2,3.5,3.2,2.8,1.2,8.3,4.2,25.7,6.4,106.2,7.2,12.5,8.3,18988.1,192.2,4.9,2.4,0.0,0.0,1.4,1.2
1,HOT,2022-01-17 18:42:58,3531.2,216.4,329910.0,3904.4,59.0,8.4,25.0,9.1,72.9,11.0,27105.7,261.4,128.5,21.4,117.4,21.3,1.4,1.2,36.1,10.3,1771.5,26.8,129.2,22.5,8.3,4.2,4.9,1.2,16.0,6.7,18.7,0.0,81.7,25.4,11.8,11.8,20093.9,271.8,11.8,9.6,0.7,1.2,2.8,4.8
1,HOT,2022-01-19 10:25:20,2147.3,217.2,307945.3,7434.4,47.9,25.6,92.4,60.8,119.4,49.9,790.0,36.3,45.8,17.1,12.5,13.7,2.1,2.1,38.1,6.1,78.5,23.0,17.4,6.0,0.0,0.0,2.8,3.2,4.9,3.2,36.8,1.2,82.3,37.0,7.6,1.2,20695.3,302.6,9.0,3.2,0.7,1.2,0.0,0.0
1,HOT,2022-01-24 17:56:15,2923.2,101.7,291333.5,1514.0,47.9,7.5,30.6,3.2,64.6,21.9,6372.4,79.3,1801.4,70.5,2.8,3.2,2.1,2.1,25.0,5.5,60.4,7.5,22.2,13.2,0.7,1.2,0.0,0.0,2.8,1.2,1.4,2.4,97.7,47.7,13.2,3.2,19020.4,505.9,4.2,2.1,0.7,1.2,1.4,2.4
1,HOT,2022-01-24 18:38:34,2942.3,268.2,304970.4,678.0,25.0,9.1,27.8,2.4,48.6,3.2,3309.4,71.4,1268.2,35.4,4.2,4.2,5.6,3.2,34.0,8.4,65.3,3.2,18.7,5.5,2.8,3.2,0.0,0.0,0.0,0.0,2.1,2.1,103.7,20.8,13.2,6.7,20359.8,199.3,1.4,2.4,1.4,2.4,2.8,4.8
1,HOT,2022-01-27 09:28:44,2917.0,180.9,320028.4,513.7,1017.2,29.2,29.2,6.2,81.9,13.9,5028.9,169.6,170.8,28.0,27.8,7.3,0.7,1.2,13.9,9.8,40.3,17.7,26.4,10.3,0.0,0.0,0.0,0.0,0.7,1.2,43.1,3.2,89.2,6.3,13.2,3.2,21656.3,56.2,6.2,2.1,6.2,2.1,7.6,2.4
1,HOT,2022-01-27 20:19:56,3560.8,306.6,322957.8,4043.8,578.6,20.3,39.6,7.5,79.9,5.2,1130.6,65.0,143.1,24.3,13.2,7.9,4.2,3.6,52.1,6.2,51.4,6.7,29.2,10.4,2.1,2.1,2.1,2.1,5.6,1.2,29.9,1.2,64.4,26.0,14.6,5.5,21564.6,133.3,5.6,3.1,0.7,1.2,0.0,0.0
1,HOT,2022-02-07 08:38:58,3167.1,200.0,437355.6,2230.8,37.5,16.3,783.7,25.4,44.4,11.8,243.8,11.0,82.6,9.8,2.8,4.8,2.1,2.1,27.8,1.2,34.0,11.5,35.4,6.2,3.5,2.4,4.9,1.2,4.2,4.2,13.2,5.2,64.1,7.1,23.6,12.7,31946.0,172.4,5.6,5.2,0.7,1.2,0.0,0.0
