Normalize,Type,Datetime,Na23(LR)_AVG,Na23(LR)_STD,Mg24(LR)_AVG,Mg24(LR)_STD,Al27(LR)_AVG,Al27(LR)_STD,Rh103(LR)_AVG,Rh103(LR)_STD,Na23(MR)_AVG,Na23(MR)_STD,Mg24(MR)_AVG,Mg24(MR)_STD,Al27(MR)_AVG,Al27(MR)_STD,K39(MR)_AVG,K39(MR)_STD,Fe56(MR)_AVG,Fe56(MR)_STD,Rh103(MR)_AVG,Rh103(MR)_STD
200,COLD,2022-01-03 20:06:03,15542.9,335.1,8616.5,271.2,9547.8,245.6,28899.4,225.0,955.4,48.5,561.3,23.7,551.5,32.3,1602.7,180.8,575.2,22.0,1857.7,43.7
200,COLD,2022-01-12 20:30:15,14634.3,113.4,8068.5,252.4,9045.7,221.2,27946.9,254.2,928.3,59.1,471.0,11.0,570.3,60.5,1702.9,119.4,551.5,38.7,1787.5,65.1
200,COLD,2022-01-14 17:03:41,17103.6,309.1,9289.1,229.9,10232.9,322.7,28537.8,267.8,1094.4,53.2,567.5,32.6,621.1,30.8,2376.9,73.9,619.0,38.6,1793.0,74.1
200,COLD,2022-01-17 19:39:56,16000.0,246.3,9159.8,182.6,10378.3,139.8,29917.9,585.6,942.2,65.9,559.9,17.7,616.9,41.9,1629.4,42.3,628.7,53.6,1794.5,25.8
200,COLD,2022-01-19 11:51:05,16551.8,154.3,8832.8,223.2,9875.4,400.7,27330.6,66.5,994.3,44.4,545.3,36.7,550.2,43.8,2237.6,44.5,589.8,35.6,1542.8,34.5
200,COLD,2022-01-24 20:32:26,14903.5,67.5,8331.4,55.7,9415.0,238.8,27242.8,276.8,910.2,20.9,516.8,32.5,572.4,15.1,1746.9,187.9,559.2,43.8,1651.3,126.5
200,COLD,2022-01-27 10:50:08,11165.8,164.9,6474.6,167.7,7396.0,302.0,23870.8,875.0,935.9,55.5,507.1,27.5,577.3,50.6,1434.3,77.1,571.0,14.4,1590.1,45.9
200,COLD,2022-01-27 21:26:49,10501.5,34.6,6101.8,160.3,7280.6,156.6,24218.8,871.6,833.1,94.9,431.3,53.4,533.5,54.3,1524.1,43.4,585.6,25.3,1580.4,70.4
200,COLD,2022-02-07 11:05:24,17379.9,270.0,9644.5,258.7,11615.1,58.5,39452.2,556.9,1246.7,70.5,730.2,44.2,819.9,15.9,2237.4,104.8,852.6,21.7,3005.6,56.0
200,COLD,2022-02-07 21:46:17,15321.7,527.9,8701.4,273.3,10580.8,381.9,37258.8,562.6,1136.1,54.1,619.0,34.3,753.2,56.4,2000.7,10.3,776.1,4.4,2774.1,125.3
200,COLD,2022-02-08 18:59:02,15216.6,394.7,8868.4,244.8,10196.8,85.8,38001.3,167.5,1122.9,59.9,643.3,24.7,675.3,31.6,2591.1,134.9,750.3,33.2,2804.7,34.5
200,COLD,2022-02-09 11:56:26,16077.4,306.2,8792.5,184.0,10669.1,461.2,39613.4,671.3,1175.1,29.2,632.9,46.0,744.8,45.0,2257.1,187.4,817.1,40.7,2913.9,80.9
200,COLD,2022-02-09 19:22:26,19929.7,745.7,10778.3,58.5,10657.9,308.2,23109.0,549.6,0.0,0.0,0.0,0.0,0.0,0.0,1659.8,95.0,633.6,7.2,1689.5,18.0
200,COLD,2022-02-11 14:58:30,20966.6,454.9,10968.1,220.7,11803.6,219.5,24644.6,235.3,1500.4,60.5,787.2,85.2,824.7,28.3,1894.4,105.6,714.9,16.7,1800.0,76.9
200,COLD,2022-02-22 10:03:16,65485.2,781.9,33474.2,696.4,33496.7,257.0,59662.0,490.7,4444.9,112.4,2275.6,56.3,2179.7,141.5,5217.5,38.3,1640.1,69.5,4225.1,94.1
200,COLD,2022-03-01 21:04:39,58348.6,909.8,30649.7,328.7,32436.3,347.6,63776.5,629.8,3993.6,37.0,2177.5,97.7,2142.1,102.7,4659.7,65.8,1626.3,19.1,4691.8,102.5
200,COLD,2022-03-07 22:00:59,43088.5,2040.4,23119.9,367.2,23210.6,365.5,48758.4,294.4,2929.8,83.5,1563.6,61.5,1487.9,123.4,3962.2,263.1,1278.7,41.9,3420.6,13.4
200,COLD,2022-03-14 16:17:45,39667.0,285.5,20791.2,95.0,20635.9,355.4,44874.1,779.9,2580.0,63.7,1405.1,14.6,1310.0,60.4,3257.7,180.6,1040.2,48.5,3034.8,113.7
200,COLD,2022-03-16 12:39:47,43452.5,63.5,22171.3,106.0,23640.0,603.8,40533.2,898.5,2743.5,128.2,1461.5,59.7,1430.2,67.8,3474.3,186.4,1065.9,33.4,2810.9,46.4
200,COLD,2022-03-18 14:04:51,26285.8,582.0,13793.2,459.3,14676.0,661.0,40382.4,321.5,1588.0,101.9,889.4,69.2,842.8,20.1,2294.5,105.3,785.1,39.9,2649.6,35.9
200,COLD,2022-03-21 12:22:09,55332.3,1285.6,19630.9,516.4,19560.7,608.7,37092.4,665.8,3164.8,232.4,1263.4,114.0,1204.2,57.5,4942.8,165.6,962.3,65.9,2357.6,56.4
200,COLD,2022-03-21 20:00:21,53105.9,176.2,19578.1,293.0,19534.9,344.9,39161.3,389.4,3488.2,125.4,1302.3,50.0,1127.2,45.0,5158.5,148.4,1028.4,60.4,2557.9,239.8
